Date,open,high,low,close,adjclose,volume,ingested_at_utc
2019-01-01,4400.0,4400.0,4400.0,4400.0,3141.0419921875,0,2026-06-14 06:09:18.130657+00:00
2019-01-02,4400.0,4400.0,4337.5,4362.5,3114.271240234375,15681200,2026-06-14 06:09:18.130657+00:00
2019-01-03,4337.5,4387.5,4325.0,4362.5,3114.271240234375,21416600,2026-06-14 06:09:18.130657+00:00
2019-01-04,4362.5,4400.0,4337.5,4362.5,3114.271240234375,41078600,2026-06-14 06:09:18.130657+00:00
2019-01-07,4412.5,4462.5,4412.5,4437.5,3167.812744140625,48108200,2026-06-14 06:09:18.130657+00:00
2019-01-08,4437.5,4475.0,4400.0,4450.0,3176.7353515625,45945800,2026-06-14 06:09:18.130657+00:00
2019-01-09,4475.0,4475.0,4412.5,4425.0,3158.88916015625,50484000,2026-06-14 06:09:18.130657+00:00
2019-01-10,4462.5,4462.5,4400.0,4425.0,3158.88916015625,44421400,2026-06-14 06:09:18.130657+00:00
2019-01-11,4475.0,4487.5,4450.0,4462.5,3185.65869140625,47217000,2026-06-14 06:09:18.130657+00:00
2019-01-14,4487.5,4487.5,4425.0,4437.5,3167.812744140625,26702800,2026-06-14 06:09:18.130657+00:00
2019-01-15,4437.5,4550.0,4425.0,4500.0,3212.4296875,49947400,2026-06-14 06:09:18.130657+00:00
2019-01-16,4525.0,4625.0,4500.0,4625.0,3301.663330078125,58089800,2026-06-14 06:09:18.130657+00:00
2019-01-17,4612.5,4662.5,4575.0,4625.0,3301.663330078125,47773600,2026-06-14 06:09:18.130657+00:00
2019-01-18,4650.0,4700.0,4600.0,4700.0,3355.20361328125,39366000,2026-06-14 06:09:18.130657+00:00
2019-01-21,4600.0,4687.5,4600.0,4612.5,3292.739990234375,33397400,2026-06-14 06:09:18.130657+00:00
2019-01-22,4612.5,4625.0,4587.5,4625.0,3301.663330078125,42127800,2026-06-14 06:09:18.130657+00:00
2019-01-23,4587.5,4612.5,4512.5,4525.0,3230.276123046875,51746000,2026-06-14 06:09:18.130657+00:00
2019-01-24,4525.0,4537.5,4487.5,4500.0,3212.4296875,88315800,2026-06-14 06:09:18.130657+00:00
2019-01-25,4512.5,4562.5,4500.0,4550.0,3248.123046875,51100800,2026-06-14 06:09:18.130657+00:00
2019-01-28,4550.0,4562.5,4525.0,4550.0,3248.123046875,42198000,2026-06-14 06:09:18.130657+00:00
2019-01-29,4525.0,4550.0,4462.5,4512.5,3221.35302734375,38083600,2026-06-14 06:09:18.130657+00:00
2019-01-30,4450.0,4500.0,4450.0,4500.0,3212.4296875,40402400,2026-06-14 06:09:18.130657+00:00
2019-01-31,4500.0,4587.5,4500.0,4537.5,3239.199951171875,72412200,2026-06-14 06:09:18.130657+00:00
2019-02-01,4550.0,4662.5,4537.5,4625.0,3301.663330078125,83559800,2026-06-14 06:09:18.130657+00:00
2019-02-04,4625.0,4637.5,4550.0,4562.5,3257.046142578125,45077600,2026-06-14 06:09:18.130657+00:00
2019-02-05,4562.5,4562.5,4562.5,4562.5,3257.046142578125,0,2026-06-14 06:09:18.130657+00:00
2019-02-06,4562.5,4612.5,4550.0,4550.0,3248.123046875,39366200,2026-06-14 06:09:18.130657+00:00
2019-02-07,4550.0,4550.0,4512.5,4537.5,3239.199951171875,11857200,2026-06-14 06:09:18.130657+00:00
